# Format: case_id,source_phase,target_phase,split
1.2.840.113619.2.359.3.2831208971.165.1590622402.677,non-contrast,arterial,train
1.2.840.113619.2.278.3.717616.249.1585713672.454,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.19.1592781847.229,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.19.1592781847.229,non-contrast,other,train
1.2.840.113619.2.278.3.717616.166.1580339212.908,non-contrast,venous,train
1.2.392.200036.9116.2.5.1.37.2418751871.1574048385.958233,non-contrast,venous,train
1.2.840.113619.2.359.3.2831208971.207.1576792853.630,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.207.1576792853.630,non-contrast,arterial,train
1.2.840.113619.2.278.3.717616.286.1593493295.610,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.102.1580775830.218,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.102.1580775830.218,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.298.1585268502.426,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.265.1578356510.134,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.265.1578356510.134,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.49.1557878721.790,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.49.1557878721.790,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.114.1571963005.297,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.234.1583108506.652,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.234.1583108506.652,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.102.1580775832.66,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.102.1580775832.66,non-contrast,arterial,train
1.2.840.113619.2.278.3.717616.260.1578649418.868,non-contrast,arterial,train
1.2.840.113619.2.278.3.717616.286.1593493300.681,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.27.1589930824.148,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.27.1589930824.148,non-contrast,arterial,train
1.2.840.113619.2.278.3.717616.286.1587944984.611,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.163.1572480858.906,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.134.1574466852.398,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.114.1571703288.442,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.992.1592264343.741,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.992.1592264343.741,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.130.1572394495.871,non-contrast,other,train
1.2.840.113619.2.359.3.2831208971.130.1572394495.871,non-contrast,arterial,train
1.2.840.113619.2.359.3.2831208971.849.1570580228.36,non-contrast,arterial,val
1.2.840.113619.2.359.3.2831208971.164.1590190851.643,non-contrast,arterial,val
1.2.840.113619.2.359.3.2831208971.125.1572221105.250,non-contrast,arterial,val
1.2.840.113619.2.359.3.2831208971.86.1583974413.503,non-contrast,arterial,val
1.2.840.113619.2.278.3.717616.204.1584947878.721,non-contrast,venous,test
1.2.840.113619.2.278.3.717616.286.1587944978.330,non-contrast,arterial,test
1.2.840.113619.2.359.3.2831208971.294.1582849361.600,non-contrast,arterial,test
1.2.840.113619.2.359.3.2831208971.294.1582849361.600,non-contrast,other,test
1.2.840.113619.2.278.3.717616.306.1582703630.242,non-contrast,arterial,test
1.2.840.113619.2.359.3.2831208971.225.1582503716.763,non-contrast,other,test
1.2.840.113619.2.359.3.2831208971.225.1582503716.763,non-contrast,arterial,test
1.2.840.113619.2.359.3.2831208971.881.1583886732.445,non-contrast,arterial,test
1.2.840.113619.2.359.3.2831208971.881.1583886732.445,non-contrast,other,test
1.2.840.113619.2.278.3.717616.202.1592287875.688,non-contrast,arterial,test
