case_id,split,source_phase,target_phase,ssim,ncc,source_shape,target_shape,issue
1.2.840.113619.2.278.3.717616.215.1582589428.278,train,non-contrast,arterial,0.6822581092666113,0.8846872538324237,"(283, 151, 185)","(283, 151, 185)",ok
1.2.840.113619.2.278.3.717616.215.1582589428.278,train,non-contrast,venous,0.7037123892186987,0.8907959974515963,"(283, 151, 185)","(283, 151, 185)",ok
1.2.840.113619.2.278.3.717616.259.1592554936.606,train,non-contrast,arterial,0.7400433167100294,0.9614201562546956,"(247, 140, 176)","(247, 140, 176)",ok
1.2.840.113619.2.278.3.717616.259.1592554936.606,train,non-contrast,venous,0.5537616174120191,0.877116708021369,"(247, 140, 176)","(247, 140, 176)",ok
1.2.840.113619.2.278.3.717616.260.1578649323.62,train,non-contrast,arterial,0.6617192698617493,0.8861800439798365,"(285, 148, 194)","(285, 148, 194)",ok
1.2.840.113619.2.278.3.717616.260.1578649323.62,train,non-contrast,venous,0.8350929425746513,0.9739432179286218,"(285, 148, 194)","(285, 148, 194)",ok
1.2.840.113619.2.278.3.717616.286.1587944966.506,train,non-contrast,venous,0.7145574959768669,0.8934964755716882,"(251, 149, 179)","(251, 149, 179)",ok
1.2.840.113619.2.278.3.717616.286.1587944966.506,train,non-contrast,arterial,0.6377788834051542,0.9013865250643429,"(251, 149, 179)","(251, 149, 179)",ok
1.2.840.113619.2.278.3.717616.286.1593493292.675,train,non-contrast,arterial,0.7230674134190733,0.8353777808859876,"(279, 167, 205)","(279, 167, 205)",ok
1.2.840.113619.2.278.3.717616.286.1593493292.675,train,non-contrast,venous,0.6943360038053947,0.7770653929301291,"(279, 167, 205)","(279, 167, 205)",ok
1.2.840.113619.2.359.3.2831208971.165.1590622402.677,train,non-contrast,venous,0.6513857843248572,0.8611563788803694,"(225, 140, 181)","(225, 140, 181)",ok
1.2.840.113619.2.359.3.2831208971.165.1590622402.677,train,non-contrast,arterial,0.3338369179208389,0.5064457943492072,"(225, 140, 181)","(225, 140, 181)",low_similarity
1.2.840.113619.2.278.3.717616.239.1576237169.526,train,non-contrast,venous,0.609034567905551,0.7521753918782986,"(304, 171, 206)","(304, 171, 206)",ok
1.2.840.113619.2.278.3.717616.239.1576237169.526,train,non-contrast,arterial,0.6255109987727295,0.7698739740347826,"(304, 171, 206)","(304, 171, 206)",ok
1.2.840.113619.2.278.3.717616.249.1585713643.237,train,non-contrast,venous,0.6129343462026855,0.8200775658782729,"(242, 145, 184)","(242, 145, 184)",ok
1.2.840.113619.2.278.3.717616.249.1585713643.237,train,non-contrast,arterial,0.6122904394770553,0.8124687130457027,"(242, 145, 184)","(242, 145, 184)",ok
1.2.840.113619.2.278.3.717616.306.1582703613.411,train,non-contrast,arterial,0.6165087094580757,0.8604244074121448,"(268, 154, 197)","(268, 154, 197)",ok
1.2.840.113619.2.278.3.717616.306.1582703613.411,train,non-contrast,venous,0.693869128164735,0.926800401231748,"(268, 154, 197)","(268, 154, 197)",ok
1.2.840.113619.2.278.3.717616.260.1578649367.247,train,non-contrast,arterial,0.7775776581448125,0.9642992973458087,"(259, 142, 191)","(259, 142, 191)",ok
1.2.840.113619.2.278.3.717616.260.1578649367.247,train,non-contrast,venous,0.5599968438220133,0.8682170018564497,"(259, 142, 191)","(259, 142, 191)",ok
1.2.840.113619.2.278.3.717616.204.1584947881.751,train,non-contrast,arterial,0.653043669454269,0.7742281614650417,"(259, 156, 195)","(259, 156, 195)",ok
1.2.840.113619.2.278.3.717616.204.1584947881.751,train,non-contrast,venous,0.7355675806532456,0.8501846601746884,"(259, 156, 195)","(259, 156, 195)",ok
1.2.840.113619.2.278.3.717616.551.1589814093.67,train,non-contrast,venous,0.733490255176531,0.8040361802687179,"(270, 159, 194)","(270, 159, 194)",ok
